id,product_name,brand,price,discounted_price,image_url,product_link
25892106,Ruched Sleeve Wrap Dress,H&M,Rs. 1799,NA,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25892106/2024/10/24/1aaf1645-3589-4aee-80de-3ed6ff7df3751729768804020-HM-Ruched-Sleeve-Wrap-Dress-5241729768803665-1.jpg",https://www.myntra.com/dresses/h%26m/hm-ruched-sleeve-wrap-dress/25892106/buy
25323250,Bodycon Maxi Dress,StyleCast,Rs. 3149,Rs. 1069,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25323250/2023/10/5/31a1cef6-74e2-492b-ae4b-958f338fea2d1696448955699StyleCastRedBodyconMaxiDress1.jpg",https://www.myntra.com/dresses/stylecast/stylecast-red-shoulder-straps-bodycon-maxi-dress/25323250/buy
29951378,Tie and Dye Print Crepe A-Line Midi Puff Sleeve Dress,Antheaa,Rs. 2499,Rs. 1199,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29951378/2024/6/12/e4aee740-b23b-499d-958a-692e1b51bc941718204163906AntheaaTieandDyePrintPuffSleeveCrepeA-LineMidiDress1.jpg",https://www.myntra.com/dresses/antheaa/antheaa-tie-and-dye-print-puff-sleeve-crepe-a-line-midi-dress/29951378/buy
25158488,Chiffon Fit and Flare Dress,Antheaa,Rs. 3599,Rs. 1871,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25158488/2023/9/25/f3054d81-a7f6-4a14-b0d4-d164e710dfac1695655964802AntheaaBluePuffSleeveChiffonMaxiDress1.jpg",https://www.myntra.com/dresses/antheaa/antheaa-embellished-puff-sleeves-chiffon-fit-and-flare-maxi-dress/25158488/buy
21334304,Floral A-Line Midi Ethnic Dress,anayna,Rs. 2698,Rs. 728,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21334304/2023/10/4/10d96212-4d28-447f-8ab7-cd15b91e503f1696406650695-anayna-Red-Floral-Ethnic-A-Line-Cotton-Midi-Ethnic-Dress-764-6.jpg",https://www.myntra.com/ethnic-dresses/anayna/anayna-red-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334304/buy
28688510,Floral Fit & Flare Dress,OCTICS,Rs. 4299,Rs. 1246,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28688510/2024/10/12/eb5a9dfc-ffc2-4a09-a77a-d924cef3f9561728727310894-OCTICS-Floral-Printed-Fit--Flare-Dress-6831728727310233-1.jpg",https://www.myntra.com/dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy
30985741,Gown Ethnic Dresses,Miss Ethnik,Rs. 12299,Rs. 3689,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/16/qcUeDlnl_28c0cadc4f5c47958dc63b025450fb7e.jpg",https://www.myntra.com/ethnic-dresses/miss+ethnik/-miss-ethnik-embroidered-gown-ethnic-dresses/30985741/buy
24956644,Long Sleeve Bodycon Midi Dress,SASSAFRAS,Rs. 1799,Rs. 665,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24956644/2023/9/14/7f49e3cc-519f-4869-8db2-2f48184fcb521694676274940SASSAFRASBlackBodyconMidiDress1.jpg",https://www.myntra.com/dresses/sassafras/sassafras-long-sleeve-bodycon-midi-dress/24956644/buy
11368696,Women Embellished Maxi Dress,Athena,Rs. 3995,Rs. 1398,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/22/3986f958-d537-49f7-8302-8932552600041579642500244-1.jpg",https://www.myntra.com/dresses/athena/athena-women-black-embellished-maxi-dress/11368696/buy
10813300,Slit Sleeves Maxi Dress,Athena,Rs. 3999,Rs. 1359,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10813300/2019/12/2/34fdf73a-8f2c-41e3-b3ed-53729f77d7841575272619313-Athena-Black-Embellished-Slit-Sleeves-Maxi-Dress-67715752726-1.jpg",https://www.myntra.com/dresses/athena/athena-black-embellished-slit-sleeves-maxi-dress/10813300/buy
31437834,Glittery Strappy Dress,H&M,Rs. 1899,NA,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/28/vaCiskJc_a59d7197b1e9427aa44acccf28464fee.jpg",https://www.myntra.com/dresses/h%26m/hm-glittery-strappy-dress/31437834/buy
